,smoothed_model_name,experiment_name,seed,w_inf,cluster_param,smooth_a_mu,smooth_a_sigma2,smooth_a_p,smooth_t_mu,smooth_t_sigma2,smooth_t_p,constant_alpha,smoothing_target,hurdle_model,test_valid,non_degen_ll,clustering_matrix_name,clustering_transformation,distance_metric,cluster_inertia,run_timestamp
135,k_clusters,global_smoothing,6654,0.28,1,0.0,0.0,0.0,0.65,0.65,0.1,False,1,True,valid,-1.4060708,u,none,l2,0.0,20260810_230939_049594
33,k_clusters,global_smoothing,6654,0.34,1,0.0,0.0,0.0,0.65,0.85,0.05,False,1,True,valid,-1.4061037,u,none,l2,0.0,20260810_213024_815459
145,k_clusters,global_smoothing,6654,0.22,1,0.55,0.5,0.1,0.0,0.0,0.0,True,1,True,valid,-1.4068456,u,none,l2,0.0,20260810_231923_798844
61,k_clusters,global_smoothing,6654,0.25,1,0.0,0.0,0.0,0.65,0.65,0.1,False,1,True,valid,-1.4070066,u,none,l2,0.0,20260810_215732_606173
137,k_clusters,global_smoothing,6654,0.28,1,0.0,0.0,0.0,0.55,0.4,0.05,False,1,True,valid,-1.4071759,u,none,l1,0.0,20260810_231136_618909
192,k_clusters,global_smoothing,6654,0.34,1,0.4,0.45,0.2,0.0,0.0,0.0,True,1,True,valid,-1.4072726,u,none,l2,0.0,20260811_000458_973545
36,k_clusters,global_smoothing,6654,0.34,1,0.65,0.7,0.2,0.0,0.0,0.0,True,1,True,valid,-1.4073913,u,none,l2,0.0,20260810_213319_147335
139,k_clusters,global_smoothing,6654,0.25,1,0.3,0.6,0.2,0.0,0.0,0.0,True,1,True,valid,-1.4080508,u,none,l2,0.0,20260810_231332_666881
69,k_clusters,global_smoothing,6654,0.32,1,0.4,0.55,0.3,0.0,0.0,0.0,True,1,True,valid,-1.4082055,u,none,l2,0.0,20260810_220519_432865
184,k_clusters,global_smoothing,6654,0.32,1,0.0,0.0,0.0,0.8,0.65,0.15,False,1,True,valid,-1.4084249,u,none,l2,0.0,20260810_235722_883545
67,k_clusters,global_smoothing,6654,0.25,1,0.0,0.0,0.0,0.7,0.45,0.05,False,1,True,valid,-1.4084601,u,none,l1,0.0,20260810_220320_474037
71,k_clusters,global_smoothing,6654,0.26,1,0.0,0.0,0.0,0.45,0.05,0.1,False,1,True,valid,-1.4084744,u,none,l2,0.0,20260810_220718_625851
3,k_clusters,global_smoothing,6654,0.28,1,0.45,0.25,0.3,0.0,0.0,0.0,True,1,True,valid,-1.4086429,u,none,l2,0.0,20260810_210116_141790
172,k_clusters,global_smoothing,6654,0.38,1,0.45,0.35,0.1,0.0,0.0,0.0,True,1,True,valid,-1.408793,u,none,l2,0.0,20260810_234543_440149
180,k_clusters,global_smoothing,6654,0.25,1,0.0,0.0,0.0,0.65,0.5,0.2,False,1,True,valid,-1.408853,u,none,l2,0.0,20260810_235332_193907
138,k_clusters,global_smoothing,6654,0.24,1,0.0,0.0,0.0,0.55,0.25,0.2,False,1,True,valid,-1.409045,u,none,l2,0.0,20260810_231234_623958
30,k_clusters,global_smoothing,6654,0.3,1,0.0,0.0,0.0,0.9,0.65,0.05,False,1,True,valid,-1.4091334,u,none,l1,0.0,20260810_212734_568761
128,k_clusters,global_smoothing,6654,0.22,1,0.7,0.6,0.2,0.0,0.0,0.0,True,1,True,valid,-1.4093604,u,none,l2,0.0,20260810_230251_768246
81,k_clusters,global_smoothing,6654,0.32,1,0.55,0.55,0.4,0.0,0.0,0.0,True,1,True,valid,-1.4095124,u,none,l2,0.0,20260810_221705_552688
66,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.35,0.35,0.15,False,1,True,valid,-1.4095144,u,none,l2,0.0,20260810_220222_138526
40,k_clusters,global_smoothing,6654,0.3,1,0.6,0.5,0.1,0.0,0.0,0.0,True,1,True,valid,-1.4095358,u,none,l1,0.0,20260810_213723_872721
94,k_clusters,global_smoothing,6654,0.3,1,0.4,0.45,0.4,0.0,0.0,0.0,True,1,True,valid,-1.4096047,u,none,l2,0.0,20260810_222949_733747
93,k_clusters,global_smoothing,6654,0.25,1,0.6,0.35,0.1,0.0,0.0,0.0,True,1,True,valid,-1.4096524,u,none,l1,0.0,20260810_222851_228629
19,k_clusters,global_smoothing,6654,0.2,1,0.0,0.0,0.0,0.55,0.4,0.1,False,1,True,valid,-1.4096859,u,none,l2,0.0,20260810_211712_745648
15,k_clusters,global_smoothing,6654,0.34,1,0.65,0.6,0.4,0.0,0.0,0.0,True,1,True,valid,-1.4098154,u,none,l2,0.0,20260810_211240_052648
124,k_clusters,global_smoothing,6654,0.25,1,0.0,0.0,0.0,0.95,0.4,0.1,False,1,True,valid,-1.4098759,u,none,l2,0.0,20260810_225858_224776
